dn_type,total_weight,n_cells,sides,top_lc_inputs
DNp04,14978,2,LR,"LC4:11597, LPLC2:3381"
DNp01,11198,2,LR,"LC4:6362, LPLC2:4836"
DNp103,5231,2,LR,"LPLC2:5065, LC4:166"
DNp02,4205,2,LR,LC4:4205
DNg40,3834,2,LR,"LPLC2:2948, LC4:886"
DNp11,3749,2,LR,"LC4:3632, LC10a:106, LPLC2:11"
DNp06,2679,2,LR,"LPLC2:1581, LC4:1098"
DNp03,2492,2,LR,LC4:2492
DNpe056,1536,2,LR,LPLC2:1536
DNp05,1255,2,LR,LC4:1255
DNp71,1033,2,LR,LPLC2:1033
DNp35,1006,2,LR,"LPLC2:700, LC4:306"
DNpe025,1004,2,LR,"LPLC2:886, LC4:118"
DNa10,718,2,LR,LC10a:718
DNpe042,306,2,LR,LPLC2:306
DNpe045,164,2,LR,LPLC2:164
DNa16,138,1,R,LC10a:138
DNp09,111,2,LR,"LPLC2:68, LC10a:43"
DNpe021,104,2,LR,"LC4:94, LPLC2:10"
DNp63,93,2,LR,LC10a:93
DNpe052,54,2,LR,LPLC2:54
DNp55,45,2,LR,LPLC2:45
DNp70,28,2,LR,LPLC2:28
DNb05,18,2,LR,LC4:18
DNd05,16,1,L,LC10a:16
